eclipse,10065517,359691989,165,8,131,i,AnnotationName
eclipse,10065517,359691989,165,9,165,i,}
eclipse,10065545,379981827,60,1,49,i,:: IdentifierOrNew
eclipse,10065545,379981827,60,2,49,i,;
eclipse,10065613,353610263,48,1,36,i,;
eclipse,10065747,357664989,82,1,35,d,"Dollars Spent"
eclipse,10066081,353619657,21,1,19,i,)
eclipse,10066129,353625557,18,1,15,i,)
eclipse,10068198,357684533,22,1,17,i,;
eclipse,10068421,353706195,50,1,20,d,>
eclipse,10068425,354639782,179,1,159,d,value1
eclipse,10070664,353826124,51,1,51,i,}
eclipse,10070824,355337967,80,1,80,d,}
eclipse,1007169,27335006,86,1,57,i,)
eclipse,10072447,353835825,16,1,14,i,:: IdentifierOrNew
eclipse,10072447,353835825,16,2,14,i,;
eclipse,10072618,353932770,146,1,17,i,;
eclipse,10073118,353870775,15,1,13,i,;
eclipse,10075001,353957736,28,1,28,i,}
eclipse,10076810,353995589,27,1,16,i,;
eclipse,10078357,360243074,51,1,45,d,v
eclipse,10078707,354050848,31,1,31,i,}
eclipse,1007991,29053601,106,1,89,s,;
eclipse,1008000,27590307,116,1,116,i,}
eclipse,10080828,354396408,43,1,15,i,ArrayInitializer
eclipse,10080828,354396408,43,2,15,i,;
eclipse,10085553,354347438,48,1,32,i,)
eclipse,10085873,354343680,15,1,13,i,;
eclipse,10087548,363727896,67,1,59,i,;
eclipse,1008790,29408517,31,1,23,i,) Statement
eclipse,10088202,354438778,36,1,33,i,;
eclipse,10090031,354549050,20,1,20,i,}
eclipse,10090478,354505830,50,1,45,i,;
eclipse,10090618,354506469,14,1,12,i,}
eclipse,10090868,357857533,177,1,131,d,fltCountBooksSold
eclipse,10091136,354553574,69,1,40,i,:: IdentifierOrNew
eclipse,10091136,354553574,69,2,40,i,;
eclipse,10093184,354601472,19,1,8,i,ArrayInitializer
eclipse,10093184,354601472,19,2,8,i,;
eclipse,10094053,370980283,34,1,23,d,)
eclipse,10095307,354757804,54,1,44,i,;
eclipse,10095403,354726606,146,1,120,i,;
eclipse,10096131,354769353,112,1,105,i,;
eclipse,10097564,354783989,34,1,32,i,;
eclipse,10097680,354785607,11,1,2,i,}
eclipse,10097686,354782937,20,1,12,s,;
eclipse,10097812,379017167,14,1,10,i,:: IdentifierOrNew
eclipse,10097812,379017167,14,2,10,i,;
eclipse,10098269,354817257,49,1,30,i,;
eclipse,10102367,356683214,286,1,226,i,;
eclipse,10103276,355122874,89,1,76,d," kWh x $"
eclipse,10103312,369279350,393,1,285,s,;
eclipse,10103472,356790374,34,1,29,i,;
eclipse,10104017,357228578,62,1,62,i,}
eclipse,10104893,392155874,16,1,13,i,;
eclipse,10105033,357036263,12,1,8,i,;
eclipse,10105828,355161807,30,1,26,i,) Statement
eclipse,10106670,355200787,36,1,32,i,;
eclipse,10107088,355210027,14,1,10,i,:: IdentifierOrNew
eclipse,10107088,355210027,14,2,10,i,;
eclipse,10107661,355316476,83,1,40,s,public
eclipse,10107770,361460594,93,1,90,i,{
eclipse,1010791,27384701,43,1,41,i,;
eclipse,10108397,366613816,218,1,176,i,;
eclipse,1010908,88092467,98,1,37,i,;
eclipse,1010942,43347870,278,1,85,d,}
eclipse,10111017,355344631,55,1,55,i,}
eclipse,10111148,355328452,31,1,29,d,)
eclipse,10111148,355328452,31,2,31,i,}
eclipse,10111301,355469640,104,1,49,i,;
eclipse,1011253,36573388,54,1,23,i,;
eclipse,10112604,355410701,18,1,18,i,}
eclipse,10113288,355404965,13,1,6,i,;
eclipse,10113533,355416400,18,1,4,i,;
eclipse,10114720,356726318,54,1,46,i,;
eclipse,10114720,356998558,109,1,49,i,;
eclipse,10114814,355524907,46,1,42,d,-
eclipse,10115573,361854300,109,1,98,i,while ( Expression ) ;
eclipse,10115573,361854300,109,2,99,i,{
eclipse,10115880,355666598,96,1,20,i,ArrayInitializer
eclipse,10115880,355666598,96,2,20,i,;
eclipse,10116019,359723431,16,1,6,s,public
eclipse,10117866,361803822,38,1,17,,
eclipse,10117909,355619326,54,1,20,d,
eclipse,10117909,355619326,54,2,20,i,... VariableDeclaratorId
eclipse,10117909,355619326,54,3,24,i,}
eclipse,10119369,355671349,23,1,23,i,}
eclipse,10120440,364119040,304,1,255,i,}
eclipse,10120447,355735708,22,1,5,i,;
eclipse,10121694,355816999,25,1,20,i,;
eclipse,10122721,355834165,25,1,24,i,;
eclipse,10123878,355903880,31,1,31,i,}
eclipse,10125027,355991066,34,1,18,i,Expression
eclipse,10125572,356044284,72,1,70,i,;
eclipse,10125744,358055555,20,1,4,i,}
eclipse,10125744,358055555,20,2,5,i,... VariableDeclaratorId
eclipse,10125744,358055555,20,3,20,d,}
eclipse,10126111,358060961,171,1,136,i,;
eclipse,10126906,366580536,330,1,271,i,}
eclipse,10127405,360102664,21,1,17,i,;
eclipse,10128203,374499221,222,1,150,,
eclipse,10128203,374499221,222,2,167,i,}
eclipse,10128203,374499221,222,3,170,i,@
eclipse,10128203,374499221,222,4,170,,
